,date,stringency_index,face_coverings,Gathering,Transport,Stay_home,new_cases_smoothed
0,2021-01-01,64.35,4,4,0,2,35994.714
1,2021-01-02,64.35,4,4,0,2,35683.286
2,2021-01-03,64.35,4,4,0,2,35622.714
3,2021-01-04,64.35,4,4,0,2,35280.143
4,2021-01-05,64.35,4,4,0,2,35524.714
5,2021-01-06,64.35,4,4,0,2,36511.429
6,2021-01-07,61.57,4,3,0,2,41297.143
7,2021-01-08,61.57,4,3,0,2,46532.429
8,2021-01-09,61.57,4,3,0,2,51681.0
9,2021-01-10,61.57,4,3,0,2,53372.0
10,2021-01-11,61.57,4,3,0,2,54187.429
11,2021-01-12,61.57,4,3,0,2,55093.286
12,2021-01-13,64.35,4,4,0,2,54710.429
13,2021-01-14,72.69,4,4,2,2,51904.714
14,2021-01-15,72.69,4,4,2,2,53263.429
15,2021-01-16,72.69,4,4,2,2,54270.857
16,2021-01-17,72.69,4,4,2,2,54612.143
17,2021-01-18,72.69,4,4,2,2,54353.0
18,2021-01-19,72.69,4,4,2,2,54028.0
19,2021-01-20,72.69,4,4,2,2,54692.286
20,2021-01-21,72.69,4,4,2,2,53352.429
21,2021-01-22,72.69,4,4,2,2,51567.857
22,2021-01-23,72.69,4,4,2,2,51546.857
23,2021-01-24,72.69,4,4,2,2,51133.0
24,2021-01-25,72.69,4,4,2,2,51361.143
25,2021-01-26,69.91,4,3,2,2,51283.857
26,2021-01-27,69.91,4,3,2,2,51326.0
27,2021-01-28,69.91,4,3,2,2,51584.571
28,2021-01-29,69.91,4,3,2,2,51998.571
29,2021-01-30,69.91,4,3,2,2,51258.0
30,2021-01-31,69.91,4,3,2,2,51169.571
31,2021-02-01,69.91,4,3,2,2,50878.143
32,2021-02-02,69.91,4,3,2,2,50116.714
33,2021-02-03,69.91,4,3,2,2,48637.0
34,2021-02-04,69.91,4,3,2,2,48115.143
35,2021-02-05,69.91,4,3,2,2,46999.0
36,2021-02-06,69.91,4,3,2,2,46027.0
37,2021-02-07,69.91,4,3,2,2,45778.714
38,2021-02-08,69.91,4,3,2,2,45792.429
39,2021-02-09,69.91,4,3,2,2,45069.429
