,date,stringency_index,face_coverings,Gathering,Transport,Stay_home,new_cases_smoothed
0,2021-01-01,68.98,4,4,1,2,19524.286
1,2021-01-02,68.98,4,4,1,2,19445.0
2,2021-01-03,68.98,4,4,1,2,18942.571
3,2021-01-04,68.98,4,4,1,2,18934.429
4,2021-01-05,68.98,4,4,1,2,18582.857
5,2021-01-06,68.98,4,4,1,2,18372.0
6,2021-01-07,68.98,4,4,1,2,18101.143
7,2021-01-08,68.98,4,4,1,2,15375.571
8,2021-01-09,68.98,4,4,1,2,18045.571
9,2021-01-10,68.98,4,4,1,2,18018.0
10,2021-01-11,68.98,4,4,1,2,17476.429
11,2021-01-12,68.98,4,4,1,2,17173.571
12,2021-01-13,68.98,4,4,1,2,16687.857
13,2021-01-14,68.98,4,4,1,2,16323.714
14,2021-01-15,68.98,4,4,1,2,18489.143
15,2021-01-16,68.98,4,4,1,2,15385.857
16,2021-01-17,68.98,4,4,1,2,15025.429
17,2021-01-18,68.98,4,4,1,2,14663.429
18,2021-01-19,68.98,4,4,1,2,14356.0
19,2021-01-20,68.98,4,4,1,2,14112.857
20,2021-01-21,68.98,4,4,1,2,13963.571
21,2021-01-22,68.98,4,4,1,2,13834.714
22,2021-01-23,68.98,4,4,1,2,13792.571
23,2021-01-24,68.98,4,4,1,2,13709.0
24,2021-01-25,68.98,4,4,1,2,13573.571
25,2021-01-26,67.13,4,4,0,3,13412.571
26,2021-01-27,61.57,4,4,0,3,12901.429
27,2021-01-28,61.57,4,4,0,3,13517.143
28,2021-01-29,61.57,4,4,0,3,13349.429
29,2021-01-30,61.57,4,4,0,3,13091.571
30,2021-01-31,61.57,4,4,0,3,12839.143
31,2021-02-01,61.57,4,4,0,3,12772.429
32,2021-02-02,61.57,4,4,0,3,12536.714
33,2021-02-03,61.57,4,4,0,3,12712.857
34,2021-02-04,61.57,4,4,0,3,11791.857
35,2021-02-05,61.57,4,4,0,3,11596.286
36,2021-02-06,61.57,4,4,0,3,11455.571
37,2021-02-07,61.57,4,4,0,3,11512.0
38,2021-02-08,61.57,4,4,0,3,11579.857
39,2021-02-09,61.57,4,4,0,3,11583.857
40,2021-02-10,61.57,4,4,0,3,11587.286
41,2021-02-11,61.57,4,4,0,3,11144.571
42,2021-02-12,61.57,4,4,0,3,11206.0
43,2021-02-13,61.57,4,4,0,3,11225.286
44,2021-02-14,61.57,4,4,0,3,11199.286
45,2021-02-15,61.57,4,4,0,3,11200.857
46,2021-02-16,61.57,4,4,0,3,11278.429
47,2021-02-17,61.57,4,4,0,3,11272.429
48,2021-02-18,61.57,4,4,0,3,11827.286
49,2021-02-19,61.57,4,4,0,3,12091.571
50,2021-02-20,61.57,4,4,0,3,12387.286
51,2021-02-21,61.57,4,4,0,3,12751.571
52,2021-02-22,61.57,4,4,0,3,12960.571
53,2021-02-23,61.57,4,4,0,3,13265.143
54,2021-02-24,63.43,4,4,0,3,13816.143
55,2021-02-25,63.43,4,4,0,3,14299.571
56,2021-02-26,63.43,4,4,0,3,14656.0
57,2021-02-27,63.43,4,4,0,3,15011.429
58,2021-02-28,63.43,4,4,0,3,15198.714
59,2021-03-01,63.43,4,4,0,3,15441.857
60,2021-03-02,63.43,4,4,0,3,15620.0
61,2021-03-03,63.43,4,4,0,3,15715.571
62,2021-03-04,63.43,4,4,0,3,15752.857
63,2021-03-05,63.43,4,4,0,3,16009.429
64,2021-03-06,63.43,4,4,0,3,16295.429
65,2021-03-07,63.43,4,4,0,3,16736.714
66,2021-03-08,63.43,4,4,0,3,17179.857
67,2021-03-09,57.87,4,4,0,3,17598.714
68,2021-03-10,57.87,4,4,0,3,18376.857
69,2021-03-11,57.87,4,4,0,3,19297.857
70,2021-03-12,57.87,4,4,0,3,20240.429
71,2021-03-13,57.87,4,4,0,3,21178.429
72,2021-03-14,57.87,4,4,0,3,22277.286
73,2021-03-15,57.87,4,4,0,3,23577.857
74,2021-03-16,57.87,4,4,0,3,25146.714
75,2021-03-17,57.87,4,4,0,3,27006.286
76,2021-03-18,57.87,4,4,0,3,29355.0
77,2021-03-19,57.87,4,4,0,3,31650.857
78,2021-03-20,57.87,4,4,0,3,34297.429
79,2021-03-21,57.87,4,4,0,3,37248.857
80,2021-03-22,57.87,4,4,0,3,39566.429
81,2021-03-23,57.87,4,4,0,3,42189.143
82,2021-03-24,57.87,4,4,0,3,44704.143
83,2021-03-25,57.87,4,4,0,3,47474.429
84,2021-03-26,57.87,4,4,0,3,50518.0
85,2021-03-27,57.87,4,4,0,3,53213.429
86,2021-03-28,57.87,4,4,0,3,56223.286
87,2021-03-29,57.87,4,4,0,3,58437.0
88,2021-03-30,57.87,4,4,0,3,59325.286
89,2021-03-31,57.87,4,4,0,3,62018.714
90,2021-04-01,57.87,4,4,0,3,65211.286
91,2021-04-02,57.87,4,4,0,3,69050.0
92,2021-04-03,74.54,4,4,2,3,73412.143
93,2021-04-04,74.54,4,4,2,3,78489.0
94,2021-04-05,69.91,4,4,0,3,84313.429
95,2021-04-06,69.91,4,4,0,3,93207.143
96,2021-04-07,69.91,4,4,0,3,100987.0
97,2021-04-08,69.91,4,4,0,3,108201.571
98,2021-04-09,69.91,4,4,0,3,116238.0
99,2021-04-10,69.91,4,4,0,3,124756.571
100,2021-04-11,69.91,4,4,0,3,134092.857
101,2021-04-12,69.91,4,4,0,3,143343.429
102,2021-04-13,69.91,4,4,0,3,153148.571
103,2021-04-14,69.91,4,4,0,3,163712.857
104,2021-04-15,69.91,4,4,0,3,175910.714
105,2021-04-16,69.91,4,4,0,3,188669.0
106,2021-04-17,69.91,4,4,0,3,204171.143
107,2021-04-18,69.91,4,4,0,3,219155.429
108,2021-04-19,73.61,4,4,0,3,233074.143
109,2021-04-20,73.61,4,4,0,3,248900.714
110,2021-04-21,73.61,4,4,0,3,265172.857
111,2021-04-22,73.61,4,4,0,3,281682.571
112,2021-04-23,73.61,4,4,0,3,297696.0
113,2021-04-24,73.61,4,4,0,3,310309.857
114,2021-04-25,73.61,4,4,0,3,321622.571
115,2021-04-26,73.61,4,4,0,3,330744.857
116,2021-04-27,73.61,4,4,0,3,340140.429
117,2021-04-28,73.61,4,4,0,3,349378.143
118,2021-04-29,73.61,4,4,0,3,357040.143
119,2021-04-30,73.61,4,4,0,3,364926.857
120,2021-05-01,73.61,4,4,0,3,371040.714
121,2021-05-02,73.61,4,4,0,3,373193.429
122,2021-05-03,73.61,4,4,0,3,378092.429
123,2021-05-04,73.61,4,4,0,3,381123.714
124,2021-05-05,73.61,4,4,0,3,385855.571
125,2021-05-06,73.61,4,4,0,3,389803.143
126,2021-05-07,73.61,4,4,0,3,389672.429
127,2021-05-08,73.61,4,4,0,3,391232.0
128,2021-05-09,73.61,4,4,0,3,391008.286
129,2021-05-10,81.94,4,4,2,3,387097.714
130,2021-05-11,81.94,4,4,2,3,382279.857
131,2021-05-12,81.94,4,4,2,3,375179.286
132,2021-05-13,81.94,4,4,2,3,365030.143
133,2021-05-14,81.94,4,4,2,3,354318.714
134,2021-05-15,81.94,4,4,2,3,341142.286
135,2021-05-16,81.94,4,4,2,3,328984.0
136,2021-05-17,81.94,4,4,2,3,319497.0
137,2021-05-18,81.94,4,4,2,3,307913.143
138,2021-05-19,81.94,4,4,2,3,295539.286
139,2021-05-20,81.94,4,4,2,3,283597.429
140,2021-05-21,81.94,4,4,2,3,273769.0
141,2021-05-22,81.94,4,4,2,3,263722.143
142,2021-05-23,81.94,4,4,2,3,255283.429
143,2021-05-24,81.94,4,4,2,3,245696.857
144,2021-05-25,81.94,4,4,2,3,237352.143
145,2021-05-26,81.94,4,4,2,3,228093.286
146,2021-05-27,81.94,4,4,2,3,217638.0
