,date,stringency_index,face_coverings,Gathering,Transport,Stay_home,new_cases_smoothed
0,2021-01-01,47.69,2,3,0,1,27238.571
1,2021-01-02,47.69,2,3,0,1,26825.0
2,2021-01-03,47.69,2,3,0,1,26253.0
3,2021-01-04,47.69,2,3,0,1,25631.857
4,2021-01-05,50.46,2,3,0,1,25255.714
5,2021-01-06,50.46,2,3,0,1,24942.429
6,2021-01-07,50.46,2,3,0,1,24355.143
7,2021-01-08,50.46,2,3,0,1,23886.143
8,2021-01-09,50.46,2,3,0,1,23468.143
9,2021-01-10,50.46,2,3,0,1,23281.714
10,2021-01-11,50.46,2,3,0,1,23282.143
11,2021-01-12,50.46,2,3,0,1,23096.714
12,2021-01-13,50.46,2,3,0,1,22902.714
13,2021-01-14,50.46,2,3,0,1,23057.714
14,2021-01-15,50.46,2,3,0,1,23195.429
15,2021-01-16,50.46,2,3,0,1,23289.429
16,2021-01-17,50.46,2,3,0,1,23380.571
17,2021-01-18,50.46,2,3,0,1,23307.857
18,2021-01-19,50.46,2,3,0,1,23134.286
19,2021-01-20,50.46,2,3,0,1,22886.0
20,2021-01-21,50.46,2,3,0,1,22491.857
21,2021-01-22,50.46,2,3,0,1,22047.286
22,2021-01-23,50.46,2,3,0,1,21606.571
23,2021-01-24,50.46,2,3,0,1,21266.857
24,2021-01-25,50.46,2,3,0,1,20765.429
25,2021-01-26,50.46,2,3,0,1,20271.143
26,2021-01-27,50.46,2,3,0,1,19793.714
27,2021-01-28,50.46,2,3,0,1,19409.714
28,2021-01-29,50.46,2,3,0,1,19093.143
29,2021-01-30,46.76,2,3,0,1,18831.143
30,2021-01-31,46.76,2,3,0,1,18443.0
31,2021-02-01,45.83,3,3,0,1,18213.286
32,2021-02-02,45.83,3,3,0,1,17988.143
33,2021-02-03,45.83,3,3,0,1,17810.714
34,2021-02-04,45.83,3,3,0,1,17468.857
35,2021-02-05,45.83,3,3,0,1,17108.571
36,2021-02-06,45.83,3,3,0,1,16769.714
37,2021-02-07,45.83,3,3,0,1,16444.714
38,2021-02-08,45.83,3,3,0,1,16203.286
39,2021-02-09,45.83,3,3,0,1,15975.0
40,2021-02-10,45.83,2,3,0,1,15694.429
41,2021-02-11,45.83,2,3,0,1,15457.286
42,2021-02-12,45.83,2,3,0,1,15232.0
43,2021-02-13,45.83,2,3,0,1,14983.571
44,2021-02-14,45.83,2,3,0,1,14720.714
45,2021-02-15,45.83,2,3,0,1,14477.571
46,2021-02-16,45.83,2,3,0,1,14223.571
47,2021-02-17,45.83,2,3,0,1,13990.857
48,2021-02-18,45.83,2,3,0,1,13768.0
49,2021-02-19,45.83,2,3,0,1,13535.857
50,2021-02-20,45.83,2,3,0,1,13269.429
51,2021-02-21,45.83,2,3,0,1,13069.429
52,2021-02-22,45.83,2,3,0,1,12848.857
53,2021-02-23,45.83,2,3,0,1,12655.857
54,2021-02-24,45.83,2,3,0,1,12510.143
55,2021-02-25,45.83,2,3,0,1,12199.286
56,2021-02-26,45.83,2,3,0,1,11872.571
57,2021-02-27,45.83,2,3,0,1,11677.429
58,2021-02-28,45.83,2,3,0,1,11486.857
59,2021-03-01,45.83,2,3,0,1,11343.286
60,2021-03-02,45.83,2,3,0,1,11166.429
61,2021-03-03,45.83,2,3,0,1,10996.0
62,2021-03-04,45.83,2,3,0,1,11024.0
63,2021-03-05,40.28,2,3,0,1,11017.0
64,2021-03-06,40.28,2,3,0,1,10945.571
65,2021-03-07,40.28,2,3,0,1,10837.571
66,2021-03-08,40.28,2,3,0,1,10651.143
67,2021-03-09,40.28,2,3,0,1,10494.143
68,2021-03-10,40.28,2,3,0,1,10288.429
69,2021-03-11,40.28,2,3,0,1,9989.0
70,2021-03-12,40.28,2,3,0,1,9816.0
71,2021-03-13,40.28,2,3,0,1,9658.714
